"seqnames","start","end","width","strand","V4","V5","V6","V7","V8","V9","V10","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENTREZID","SYMBOL","GENENAME"
"chr1",20827788,20828292,505,"*","BG2_peak_14",16,".",3.63266,4.60731,1.64405,113,"Distal Intergenic",1,20821331,20822516,1186,1,"ENSMUSG00000099714.1","ENSMUST00000186367.1",6457,"100417924","Gm20587","chaperonin containing Tcp1, subunit 7 (eta) pseudogene"
"chr1",20867508,20867852,345,"*","BG2_peak_15",25,".",4.13512,5.83671,2.55123,156,"Distal Intergenic",1,20888650,20890473,1824,2,"ENSMUSG00000097934.1","ENSMUST00000181654.1",22621,"77741","6720483E21Rik","RIKEN cDNA 6720483E21 gene"
"chr1",20905786,20906363,578,"*","BG2_peak_16",15,".",3.41791,4.46802,1.52816,153,"Intron (ENSMUST00000189400.6/ENSMUSG00000025931.15, intron 1 of 2)",1,20915410,20915540,131,2,"ENSMUSG00000077314.1","ENSMUST00000104126.1",9177,"115485789","Gm24171","predicted gene, 24171"
"chr1",26686905,26687997,1093,"*","BG2_peak_17a",40,".",4.04213,7.53216,4.03444,415,"Promoter (<=1kb)",1,26681814,26687460,5647,2,"ENSMUSG00000073722.3","ENSMUST00000097801.3",0,"210940","4931408C20Rik","RIKEN cDNA 4931408C20 gene"
"chr1",26686905,26687997,1093,"*","BG2_peak_17b",76,".",5.14577,11.4253,7.61066,647,"Promoter (<=1kb)",1,26681814,26687460,5647,2,"ENSMUSG00000073722.3","ENSMUST00000097801.3",0,"210940","4931408C20Rik","RIKEN cDNA 4931408C20 gene"
"chr1",28614514,28614876,363,"*","BG2_peak_18",23,".",4.16462,5.64491,2.37838,198,"Distal Intergenic",1,28580499,28580772,274,2,"ENSMUSG00000086240.4","ENSMUST00000145844.2",-33742,NA,NA,NA
"chr1",31793760,31794106,347,"*","BG2_peak_19",38,".",4.87622,7.28798,3.83141,178,"Distal Intergenic",1,31736057,31736891,835,1,"ENSMUSG00000082159.2","ENSMUST00000117896.2",57703,NA,NA,NA
"chr1",32834629,32835015,387,"*","BG2_peak_20",16,".",3.74816,4.78527,1.68333,161,"Distal Intergenic",1,32726639,32726930,292,1,"ENSMUSG00000089395.1","ENSMUST00000158770.1",107990,NA,NA,NA
"chr1",34439370,34439923,554,"*","BG2_peak_21",191,".",8.29252,23.5942,19.1117,231,"Promoter (<=1kb)",1,34439851,34449356,9506,1,"ENSMUSG00000026127.13","ENSMUST00000027303.13",0,"27993","Imp4","IMP4, U3 small nucleolar ribonucleoprotein"
"chr1",34583825,34584184,360,"*","BG2_peak_22",125,".",7.14359,16.7474,12.5938,236,"Intron (ENSMUST00000052670.10/ENSMUSG00000045174.10, intron 1 of 1)",1,34579202,34579711,510,2,"ENSMUSG00000045815.4","ENSMUST00000186712.1",-4114,NA,NA,NA
"chr1",35869607,35870016,410,"*","BG2_peak_23",56,".",5.76672,9.35231,5.69643,269,"Distal Intergenic",1,35879845,35881119,1275,1,"ENSMUSG00000102531.1","ENSMUST00000194261.1",-9829,NA,NA,NA
"chr1",36603388,36603994,607,"*","BG2_peak_24",17,".",3.55782,4.90214,1.78606,107,"Promoter (1-2kb)",1,36601802,36602146,345,1,"ENSMUSG00000089906.1","ENSMUST00000161062.1",1586,NA,NA,NA
"chr1",37585907,37586317,411,"*","BG2_peak_25",23,".",4.16462,5.64491,2.37838,131,"Distal Intergenic",1,37614259,37615372,1114,1,"ENSMUSG00000089767.1","ENSMUST00000160659.1",-27942,NA,NA,NA
"chr1",37864832,37865327,496,"*","BG2_peak_26",173,".",9.25506,21.7502,17.345,306,"Promoter (<=1kb)",1,37754776,37865079,110304,2,"ENSMUSG00000060771.14","ENSMUST00000041815.14",0,"211484","Tsga10","testis specific 10"
"chr1",37996994,37997414,421,"*","BG2_peak_27",57,".",5.16561,9.36697,5.70994,178,"Promoter (<=1kb)",1,37985189,37997315,12127,2,"ENSMUSG00000058407.12","ENSMUST00000162031.7",0,"98258","Txndc9","thioredoxin domain containing 9"
"chr1",39478553,39478930,378,"*","BG2_peak_28",52,".",5.46761,8.86497,5.24746,311,"Promoter (<=1kb)",1,39371492,39478755,107264,2,"ENSMUSG00000003134.10","ENSMUST00000054462.10",0,"54610","Tbc1d8","TBC1 domain family, member 8"
"chr1",39499466,39499872,407,"*","BG2_peak_29",53,".",5.30756,8.9343,5.31104,288,"Distal Intergenic",1,39519533,39519747,215,1,"ENSMUSG00000065629.2","ENSMUST00000083695.2",-19661,"115487696","Gm24826","predicted gene, 24826"
"chr1",39947712,39948201,490,"*","BG2_peak_30",80,".",5.56251,11.9224,8.06994,165,"Intron (ENSMUST00000163854.8/ENSMUSG00000026074.14, intron 2 of 30)",1,39901230,40024925,123696,1,"ENSMUSG00000026074.14","ENSMUST00000192509.5",46482,"26921","Map4k4","mitogen-activated protein kinase kinase kinase kinase 4"
"chr1",42850944,42851312,369,"*","BG2_peak_31",67,".",6.24693,10.4881,6.73574,168,"Promoter (<=1kb)",1,42851233,42905682,54450,1,"ENSMUSG00000060679.14","ENSMUST00000057208.12",0,"69527","Mrps9","mitochondrial ribosomal protein S9"
"chr1",43098231,43098726,496,"*","BG2_peak_32",39,".",4.99754,7.48185,3.98901,176,"Promoter (<=1kb)",1,43098710,43115947,17238,1,"ENSMUSG00000010290.7","ENSMUST00000010434.7",0,"98404","AI597479","expressed sequence AI597479"
"chr1",43694731,43695277,547,"*","BG2_peak_33",138,".",8.08596,18.0499,13.8266,216,"Distal Intergenic",1,43730602,43742578,11977,1,"ENSMUSG00000026051.8","ENSMUST00000027217.8",-35325,"78896","Ecrg4","ECRG4 augurin precursor"
"chr1",43730323,43730785,463,"*","BG2_peak_34",66,".",5.94057,10.3508,6.61271,222,"Promoter (<=1kb)",1,43730602,43742578,11977,1,"ENSMUSG00000026051.8","ENSMUST00000027217.8",0,"78896","Ecrg4","ECRG4 augurin precursor"
"chr1",43827725,43828133,409,"*","BG2_peak_35",113,".",7.43503,15.4384,11.3616,186,"Promoter (<=1kb)",1,43746966,43827800,80835,2,"ENSMUSG00000057363.12","ENSMUST00000126008.7",0,"67883","Uxs1","UDP-glucuronate decarboxylase 1"
"chr1",45795150,45795533,384,"*","BG2_peak_36",57,".",5.83047,9.45571,5.78377,158,"Promoter (<=1kb)",1,45795166,45823619,28454,1,"ENSMUSG00000025995.16","ENSMUST00000027139.14",0,"73674","Wdr75","WD repeat domain 75"
"chr1",46619428,46619898,471,"*","BG2_peak_37",23,".",4.16462,5.64491,2.37838,112,"Intron (ENSMUST00000189749.6/ENSMUSG00000101337.6, intron 27 of 64)",1,46608961,46626111,17151,1,"ENSMUSG00000101337.6","ENSMUST00000178395.1",10467,"100101919","Dnah7c","dynein, axonemal, heavy chain 7C"
"chr1",46853489,46853954,466,"*","BG2_peak_38",201,".",9.32199,24.6486,20.1239,181,"Promoter (<=1kb)",1,46807544,46854046,46503,2,"ENSMUSG00000025986.6","ENSMUST00000027131.5",92,"227059","Slc39a10","solute carrier family 39 (zinc transporter), member 10"
"chr1",50927195,50927755,561,"*","BG2_peak_39",67,".",5.81045,10.5003,6.74648,162,"Promoter (<=1kb)",1,50927519,51187270,259752,1,"ENSMUSG00000026109.14","ENSMUST00000081851.3",0,"56363","Tmeff2","transmembrane protein with EGF-like and two follistatin-like domains 2"
"chr1",51478291,51478700,410,"*","BG2_peak_40",183,".",10.1498,22.7876,18.3391,170,"Promoter (<=1kb)",1,51469488,51478399,8912,2,"ENSMUSG00000026107.11","ENSMUST00000027279.11",0,"109019","Nabp1","nucleic acid binding protein 1"
"chr1",52717803,52718342,540,"*","BG2_peak_41",40,".",4.85665,7.54953,4.04995,106,"Intron (ENSMUST00000156876.7/ENSMUSG00000041439.15, intron 1 of 6)",1,52656286,52727462,71177,2,"ENSMUSG00000041439.15","ENSMUST00000156876.7",9120,"98682","Mfsd6","major facilitator superfamily domain containing 6"
"chr1",52723352,52723692,341,"*","BG2_peak_42",16,".",3.73271,4.76147,1.68333,107,"Intron (ENSMUST00000156876.7/ENSMUSG00000041439.15, intron 1 of 6)",1,52656286,52727462,71177,2,"ENSMUSG00000041439.15","ENSMUST00000156876.7",3770,"98682","Mfsd6","major facilitator superfamily domain containing 6"
"chr1",52773228,52773568,341,"*","BG2_peak_43",31,".",4.58108,6.54489,3.15402,225,"Distal Intergenic",1,52756719,52757129,411,1,"ENSMUSG00000100230.1","ENSMUST00000188413.1",16509,NA,NA,NA
"chr1",52986248,52986594,347,"*","BG2_peak_44",23,".",4.16462,5.64491,2.37838,209,"Intron (ENSMUST00000191441.1/ENSMUSG00000043629.12, intron 1 of 1)",1,52925187,52992655,67469,2,"ENSMUSG00000043629.12","ENSMUST00000190831.6",6061,"67080","1700019D03Rik","RIKEN cDNA 1700019D03 gene"
"chr1",54557403,54557896,494,"*","BG2_peak_45",55,".",5.68892,9.2259,5.58073,190,"Promoter (<=1kb)",1,54472994,54557682,84689,2,"ENSMUSG00000073678.4","ENSMUST00000097739.4",0,"241062","Pgap1","post-GPI attachment to proteins 1"
"chr1",55027213,55027580,368,"*","BG2_peak_46",13,".",3.42604,4.28827,1.37567,145,"Promoter (<=1kb)",1,54985169,55027481,42313,2,"ENSMUSG00000025982.13","ENSMUST00000027127.13",0,"81898","Sf3b1","splicing factor 3b, subunit 1"
"chr1",55052449,55052918,470,"*","BG2_peak_47",155,".",8.83643,19.9202,15.5997,268,"Promoter (<=1kb)",1,55052770,55071953,19184,1,"ENSMUSG00000025981.13","ENSMUST00000087617.10",0,"67876","Coq10b","coenzyme Q10B"
"chr1",55087981,55088312,332,"*","BG2_peak_48",145,".",8.49657,18.7923,14.5301,153,"Promoter (<=1kb)",1,55077835,55088024,10190,2,"ENSMUSG00000025980.14","ENSMUST00000027123.14",0,"15510","Hspd1","heat shock protein 1 (chaperonin)"
"chr1",58445215,58445711,497,"*","BG2_peak_49",15,".",3.45714,4.53066,1.58247,144,"Promoter (<=1kb)",1,58430994,58445429,14436,2,"ENSMUSG00000026035.15","ENSMUST00000117069.7",0,"70225","Ppil3","peptidylprolyl isomerase (cyclophilin)-like 3"
"chr1",59516107,59516524,418,"*","BG2_peak_50",59,".",5.74639,9.66635,5.97884,274,"Promoter (<=1kb)",1,59516264,59634509,118246,1,"ENSMUSG00000047361.15","ENSMUST00000114243.7",0,"381260","Gm973","predicted gene 973"
"chr1",60097703,60098399,697,"*","BG2_peak_51",41,".",4.75808,7.68769,4.17727,347,"Promoter (<=1kb)",1,60069785,60097908,28124,2,"ENSMUSG00000026019.15","ENSMUST00000027173.14",0,"57750","Wdr12","WD repeat domain 12"
"chr1",60180300,60180636,337,"*","BG2_peak_52",226,".",11.7163,27.2808,22.6547,162,"Promoter (<=1kb)",1,60180599,60338328,157730,1,"ENSMUSG00000073664.11","ENSMUST00000160834.7",0,"269198","Nbeal1","neurobeachin like 1"
"chr1",63114312,63114715,404,"*","BG2_peak_53",46,".",5.24717,8.18396,4.63342,226,"Promoter (<=1kb)",1,63047801,63114667,66867,2,"ENSMUSG00000040865.15","ENSMUST00000097718.8",0,"227195","Ino80d","INO80 complex subunit D"
"chr1",64305454,64305860,407,"*","BG2_peak_54",122,".",7.97174,16.3806,12.248,165,"Promoter (2-3kb)",1,64185991,64303043,117053,2,"ENSMUSG00000101895.1","ENSMUST00000190863.1",-2411,NA,NA,NA
"chr1",64532734,64533098,365,"*","BG2_peak_55",62,".",5.89639,9.91382,6.20779,157,"Promoter (<=1kb)",1,64532797,64597571,64775,1,"ENSMUSG00000025958.14","ENSMUST00000171164.7",0,"12912","Creb1","cAMP responsive element binding protein 1"
"chr1",64690595,64690973,379,"*","BG2_peak_56",172,".",8.36475,21.6497,17.25,187,"Promoter (<=1kb)",1,64690822,64723946,33125,1,"ENSMUSG00000070871.10","ENSMUST00000187170.6",0,"227210","Ccnyl1","cyclin Y-like 1"
"chr1",64737627,64738043,417,"*","BG2_peak_57",204,".",9.21552,24.9951,20.4564,209,"Promoter (<=1kb)",1,64730558,64737751,7194,2,"ENSMUSG00000045005.9","ENSMUST00000063982.6",0,"14367","Fzd5","frizzled class receptor 5"
"chr1",65008183,65008784,602,"*","BG2_peak_58",31,".",4.58108,6.54489,3.15402,122,"Distal Intergenic",1,65001307,65001462,156,2,"ENSMUSG00000077471.1","ENSMUST00000104283.1",-6721,"115487676","Gm24788","predicted gene, 24788"
"chr1",65186438,65186838,401,"*","BG2_peak_59",78,".",6.25878,11.6581,7.82336,190,"Promoter (<=1kb)",1,65186702,65278695,91994,1,"ENSMUSG00000025949.15","ENSMUST00000081154.13",0,"18711","Pikfyve","phosphoinositide kinase, FYVE type zinc finger containing"
"chr1",71557038,71557388,351,"*","BG2_peak_60",23,".",4.11909,5.57377,2.37389,140,"Promoter (<=1kb)",1,71557150,71579631,22482,1,"ENSMUSG00000026192.13","ENSMUST00000027384.5",0,"108147","Atic","5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase"
"chr1",72583029,72583521,493,"*","BG2_peak_61",62,".",5.52814,10.0096,6.29582,270,"Promoter (<=1kb)",1,72583251,72633134,49884,1,"ENSMUSG00000039354.16","ENSMUST00000047615.14",0,"54380","Smarcal1","SWI/SNF related matrix associated, actin dependent regulator of chromatin, subfamily a-like 1"
"chr1",73944250,73944751,502,"*","BG2_peak_62",109,".",6.95369,15.0183,10.9654,282,"Intron (ENSMUST00000169786.7/ENSMUSG00000055322.14, intron 19 of 34)",1,73913911,73928513,14603,2,"ENSMUSG00000055322.14","ENSMUST00000187691.6",-15737,"21961","Tns1","tensin 1"
"chr1",74111211,74111696,486,"*","BG2_peak_63",144,".",7.39447,18.6671,14.4112,330,"Intron (ENSMUST00000169786.7/ENSMUSG00000055322.14, intron 1 of 34)",1,73910231,74124447,214217,2,"ENSMUSG00000055322.14","ENSMUST00000169786.7",12751,"21961","Tns1","tensin 1"
"chr1",74284644,74285075,432,"*","BG2_peak_64",244,".",9.0601,29.1436,24.459,224,"Promoter (<=1kb)",1,74279840,74284738,4899,2,"ENSMUSG00000006299.13","ENSMUST00000006462.13",0,"227290","Aamp","angio-associated migratory protein"
"chr1",74295627,74296245,619,"*","BG2_peak_65a",48,".",4.49454,8.43648,4.86218,197,"Promoter (<=1kb)",1,74295641,74298867,3227,1,"ENSMUSG00000099931.1","ENSMUST00000187941.1",0,NA,NA,NA
"chr1",74295627,74296245,619,"*","BG2_peak_65b",43,".",4.33469,7.82773,4.3059,523,"Promoter (<=1kb)",1,74295641,74298867,3227,1,"ENSMUSG00000099931.1","ENSMUST00000187941.1",0,NA,NA,NA
"chr1",74332384,74332775,392,"*","BG2_peak_66",89,".",6.25484,12.8621,8.94631,155,"Promoter (<=1kb)",1,74332610,74353686,21077,1,"ENSMUSG00000026179.14","ENSMUST00000087225.5",0,"56695","Pnkd","paroxysmal nonkinesiogenic dyskinesia"
"chr1",74588018,74588377,360,"*","BG2_peak_67",189,".",9.27922,23.4484,18.9715,181,"Promoter (<=1kb)",1,74565127,74588028,22902,2,"ENSMUSG00000026135.17","ENSMUST00000113737.7",0,"77264","Zfp142","zinc finger protein 142"
"chr1",74661544,74661955,412,"*","BG2_peak_68",93,".",6.96852,13.2895,9.34485,201,"Promoter (<=1kb)",1,74661745,74703730,41986,1,"ENSMUSG00000033257.14","ENSMUST00000042125.14",0,"67534","Ttll4","tubulin tyrosine ligase-like family, member 4"
"chr1",74797172,74797758,587,"*","BG2_peak_69",56,".",5.50146,9.25943,5.61043,427,"Intron (ENSMUST00000006718.14/ENSMUSG00000026167.14, intron 2 of 3)",1,74791516,74804179,12664,1,"ENSMUSG00000026167.14","ENSMUST00000006718.14",5656,"22409","Wnt10a","wingless-type MMTV integration site family, member 10A"
"chr1",75124675,75125182,508,"*","BG2_peak_70",25,".",4.13512,5.83671,2.55123,161,"Distal Intergenic",1,75125541,75133890,8350,2,"ENSMUSG00000026205.8","ENSMUST00000027405.5",8708,"22626","Slc23a3","solute carrier family 23 (nucleobase transporters), member 3"
"chr1",75191729,75192194,466,"*","BG2_peak_71",120,".",7.09539,16.1927,12.0704,214,"Promoter (<=1kb)",1,75192160,75199387,7228,1,"ENSMUSG00000026199.17","ENSMUST00000152233.8",0,"52231","Ankzf1","ankyrin repeat and zinc finger domain containing 1"
"chr1",75317461,75318015,555,"*","BG2_peak_72",366,".",10.9979,41.6902,36.6524,239,"Promoter (<=1kb)",1,75307896,75317637,9742,2,"ENSMUSG00000026209.15","ENSMUST00000066668.13",0,"13437","Dnpep","aspartyl aminopeptidase"
"chr1",77410146,77410667,522,"*","BG2_peak_73",59,".",5.71007,9.60625,5.92228,430,"Intron (ENSMUST00000027451.12/ENSMUSG00000026235.14, intron 5 of 17)",1,77496653,77496768,116,2,"ENSMUSG00000099141.1","ENSMUST00000184495.1",86101,"102465180","Mir6352","microRNA 6352"
"chr1",77496613,77497230,618,"*","BG2_peak_74",32,".",4.45543,6.61086,3.21434,296,"Promoter (<=1kb)",1,77496653,77496768,116,2,"ENSMUSG00000099141.1","ENSMUST00000184495.1",0,"102465180","Mir6352","microRNA 6352"
"chr1",78190502,78190916,415,"*","BG2_peak_75",23,".",4.16462,5.64491,2.37838,313,"Intron (ENSMUST00000004994.15/ENSMUSG00000004872.15, intron 4 of 8)",1,78101267,78196838,95572,2,"ENSMUSG00000004872.15","ENSMUST00000004994.15",5922,"18505","Pax3","paired box 3"
"chr1",79398066,79398405,340,"*","BG2_peak_76",23,".",4.16462,5.64491,2.37838,187,"Distal Intergenic",1,79434669,79440042,5374,2,"ENSMUSG00000050711.7","ENSMUST00000185234.1",41637,"20254","Scg2","secretogranin II"
"chr1",80340743,80341116,374,"*","BG2_peak_77",123,".",8.01998,16.4643,12.3264,192,"Promoter (<=1kb)",1,80264923,80340480,75558,2,"ENSMUSG00000004364.14","ENSMUST00000163119.7",-263,"26554","Cul3","cullin 3"
"chr1",80651995,80652443,449,"*","BG2_peak_78",23,".",4.16462,5.64491,2.37838,146,"Intron (ENSMUST00000077946.11/ENSMUSG00000038608.15, intron 1 of 55)",1,80501713,80665275,163563,2,"ENSMUSG00000038608.15","ENSMUST00000190983.6",12832,"210293","Dock10","dedicator of cytokinesis 10"
"chr1",82283073,82283551,479,"*","BG2_peak_79",157,".",8.93728,20.1011,15.7724,292,"Intron (ENSMUST00000069799.2/ENSMUSG00000055980.2, intron 1 of 1)",1,82233101,82291416,58316,2,"ENSMUSG00000055980.2","ENSMUST00000069799.2",7865,"16367","Irs1","insulin receptor substrate 1"
"chr1",82290966,82291623,658,"*","BG2_peak_80",36,".",4.43293,7.13373,3.69079,210,"Promoter (<=1kb)",1,82233101,82291416,58316,2,"ENSMUSG00000055980.2","ENSMUST00000069799.2",0,"16367","Irs1","insulin receptor substrate 1"
"chr1",82458161,82458575,415,"*","BG2_peak_81",24,".",4.03441,5.67546,2.40529,257,"Intron (ENSMUST00000087050.6/ENSMUSG00000067158.9, intron 44 of 47)",1,82392493,82402746,10254,2,"ENSMUSG00000100786.1","ENSMUST00000187929.1",-55415,NA,NA,NA
"chr1",83481199,83481597,399,"*","BG2_peak_82",16,".",3.74816,4.78527,1.68333,303,"Distal Intergenic",1,83426596,83427398,803,2,"ENSMUSG00000104219.1","ENSMUST00000195202.1",-53801,NA,NA,NA
"chr1",86032279,86032783,505,"*","BG2_peak_83",130,".",7.635,17.2171,13.0375,269,"Distal Intergenic",1,86021961,86024669,2709,1,"ENSMUSG00000026226.15","ENSMUST00000135440.1",10318,"70060","Spata3","spermatogenesis associated 3"
"chr1",86038534,86038980,447,"*","BG2_peak_84",16,".",3.73271,4.76147,1.68333,94,"Distal Intergenic",1,86045863,86053353,7491,1,"ENSMUSG00000026227.11","ENSMUST00000027429.10",-6883,"72792","2810459M11Rik","RIKEN cDNA 2810459M11 gene"
"chr1",86053362,86053693,332,"*","BG2_peak_85",77,".",6.66339,11.5481,7.72111,200,"3' UTR",1,86045863,86055456,9594,1,"ENSMUSG00000026227.11","ENSMUST00000165824.2",7499,"72792","2810459M11Rik","RIKEN cDNA 2810459M11 gene"
"chr1",86154458,86154808,351,"*","BG2_peak_86",37,".",4.8113,7.18406,3.73629,306,"Promoter (<=1kb)",1,86154798,86276697,121900,1,"ENSMUSG00000062590.13","ENSMUST00000113309.8",0,"78795","Armc9","armadillo repeat containing 9"
"chr1",86359279,86359651,373,"*","BG2_peak_87",91,".",6.34902,13.0363,9.10917,243,"Promoter (<=1kb)",1,86344719,86359400,14682,2,"ENSMUSG00000026234.12","ENSMUST00000027438.7",0,"17975","Ncl","nucleolin"
"chr1",86434513,86434880,368,"*","BG2_peak_88",87,".",5.74303,12.6698,8.76439,160,"Distal Intergenic",1,86426329,86428052,1724,1,"ENSMUSG00000036574.5","ENSMUST00000046004.5",8184,"71863","Tex44","testis expressed 44"
"chr1",86487389,86487757,369,"*","BG2_peak_89",69,".",6.12948,10.6664,6.90283,172,"Distal Intergenic",1,86473659,86474006,348,1,"ENSMUSG00000101328.1","ENSMUST00000163337.3",13730,NA,NA,NA
"chr1",86526346,86526721,376,"*","BG2_peak_90",97,".",5.87699,13.736,9.76492,176,"Promoter (<=1kb)",1,86526726,86530712,3987,1,"ENSMUSG00000026238.14","ENSMUST00000045897.14",-5,"19231","Ptma","prothymosin alpha"
"chr1",86582473,86582885,413,"*","BG2_peak_91",152,".",8.6414,19.5683,15.2643,241,"Promoter (<=1kb)",1,86542994,86582547,39554,2,"ENSMUSG00000026239.14","ENSMUST00000027444.14",0,"18582","Pde6d","phosphodiesterase 6D, cGMP-specific, rod, delta"
"chr1",88658455,88658794,340,"*","BG2_peak_92",105,".",7.72068,14.5588,10.5355,156,"Promoter (2-3kb)",1,88656308,88658100,1793,1,"ENSMUSG00000100367.1","ENSMUST00000186042.1",2147,NA,NA,NA
"chr1",89070045,89070443,399,"*","BG2_peak_93",424,".",12.3299,47.6509,42.4996,199,"Promoter (<=1kb)",1,89070415,89155068,84654,1,"ENSMUSG00000036206.12","ENSMUST00000066279.10",0,"98402","Sh3bp4","SH3-domain binding protein 4"
"chr1",89400587,89401086,500,"*","BG2_peak_94",171,".",9.77392,21.5753,17.1785,312,"Intron (ENSMUST00000186258.1/ENSMUSG00000099938.1, intron 1 of 2)",1,89360342,89406133,45792,2,"ENSMUSG00000099938.1","ENSMUST00000186258.1",5047,"77331","C030007H22Rik","RIKEN cDNA C030007H22 gene"
"chr1",90475114,90475535,422,"*","BG2_peak_95",43,".",4.84,7.82561,4.304,143,"Distal Intergenic",1,90453394,90454501,1108,2,"ENSMUSG00000101997.1","ENSMUST00000187630.1",-20613,NA,NA,NA
"chr1",91052858,91053393,536,"*","BG2_peak_96",39,".",4.44576,7.44629,3.97554,108,"Promoter (<=1kb)",1,91053444,91128944,75501,1,"ENSMUSG00000026305.15","ENSMUST00000068167.12",-51,"16978","Lrrfip1","leucine rich repeat (in FLII) interacting protein 1"
"chr1",91209497,91210021,525,"*","BG2_peak_97",118,".",6.99649,16.0012,11.8903,279,"Intron (ENSMUST00000097648.5/ENSMUSG00000034353.14, intron 2 of 2)",1,91180046,91225196,45151,1,"ENSMUSG00000034353.14","ENSMUST00000097648.5",29451,"51801","Ramp1","receptor (calcitonin) activity modifying protein 1"
"chr1",91413225,91413579,355,"*","BG2_peak_98",80,".",5.56251,11.9224,8.06994,160,"Promoter (<=1kb)",1,91411483,91413222,1740,2,"ENSMUSG00000067071.8","ENSMUST00000086851.1",-3,"55927","Hes6","hairy and enhancer of split 6"
"chr1",91540114,91540890,777,"*","BG2_peak_99",137,".",6.83887,17.9512,13.7339,420,"Promoter (<=1kb)",1,91540544,91556088,15545,1,"ENSMUSG00000026311.16","ENSMUST00000086843.10",0,"65247","Asb1","ankyrin repeat and SOCS box-containing 1"
"chr1",91969276,91969813,538,"*","BG2_peak_100",13,".",3.38328,4.22207,1.32018,89,"Intron (ENSMUST00000097644.8/ENSMUSG00000026313.15, intron 15 of 26)",1,91975987,91981564,5578,1,"ENSMUSG00000103101.1","ENSMUST00000194827.1",-6174,NA,NA,NA
