"seqnames","start","end","width","strand","exo_signal","endo_signal","enrichment","pvalue","binding_type","binding_type_by_peaks","significant","cpg_score","cpg_name","cpg_length","region_length","region_start","region_end","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"chr1",6359082,6359442,361,"*",39.5276558069679,0,Inf,1,"exo_only","exo_only","False","CpG:",633,360,328,6359199,6359527,"Promoter (<=1kb)",1,6359218,6394731,35514,1,"620393","ENSMUST00000133144.3",0,"ENSMUSG00000087247","Alkal1","ALK and LTK ligand 1"
"chr1",6441200,6441612,413,"*",9.65833493685967,10.6878924579068,0.903670669862935,1,"both","endo_only","False","CpG:",634,412,1071,6440818,6441889,"Exon (ENSMUST00000194240.1/ENSMUST00000194240.1, exon 1 of 2)",1,6487231,6860934,373704,1,"240690","ENSMUST00000140079.7",-45619,"ENSMUSG00000033740","St18","suppression of tumorigenicity 18"
"chr1",7088491,7089271,781,"*",45.3905879948399,35.5477891089506,1.27688919993652,0.1,"both","both","False","CpG:",639,780,7168,7086674,7093842,"Promoter (<=1kb)",1,7088920,7173628,84709,1,"319263","ENSMUST00000061280.16",0,"ENSMUSG00000051285","Pcmtd1","protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1"
"chr1",7397746,7398594,849,"*",86.2949221985238,82.895167518581,1.04101270051937,0.7,"both","both","False","CpG:",641,848,2949,7395499,7398448,"Exon (ENSMUST00000181554.1/ENSMUST00000181554.1, exon 1 of 3)",1,7160557,7172659,12103,1,"319263","ENSMUST00000183204.1",237189,"ENSMUSG00000051285","Pcmtd1","protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1"
"chr1",9299215,9300020,806,"*",27.9299063235448,6.06478263597952,4.60526089720838,0.8,"both","both","False","CpG:",655,805,1358,9298334,9299692,"Promoter (<=1kb)",1,8361475,9299238,937764,2,"71096","ENSMUST00000140295.7",0,"ENSMUSG00000025909","Sntg1","syntrophin, gamma 1"
"chr1",9545269,9546268,1000,"*",47.7219193993193,38.2527937900113,1.24754075901721,0.7,"both","both","False","CpG:",657,999,1804,9544854,9546658,"Promoter (<=1kb)",1,9545408,9547455,2048,1,"59014","ENSMUST00000072079.8",0,"ENSMUSG00000061024","Rrs1","ribosome biogenesis regulator 1"
"chr1",9699785,9700881,1097,"*",19.139674631941,17.2227210680102,1.1113037571915,1,"both","both","False","CpG:",659,1096,2643,9698649,9701292,"Promoter (<=1kb)",1,9667415,9700209,32795,2,"17864","ENSMUST00000088658.10",0,"ENSMUSG00000025912","Mybl1","myeloblastosis oncogene-like 1"
"chr1",9747560,9748645,1086,"*",51.4806573587509,47.6982082708303,1.07929960526911,1,"both","both","False","CpG:",659,1085,2980,9746409,9749389,"Promoter (<=1kb)",1,9718622,9748382,29761,2,"70675","ENSMUST00000057438.6",0,"ENSMUSG00000045210","Vcpip1","valosin containing protein (p97)/p47 complex interacting protein 1"
"chr1",9797821,9798652,832,"*",26.7261029389855,7.88976203265639,3.38744094287812,0.1,"both","exo_only","False","CpG:",659,831,2202,9796998,9799200,"Promoter (<=1kb)",1,9798107,9900843,102737,1,"170755","ENSMUST00000166384.7",0,"ENSMUSG00000025915","Sgk3","serum/glucocorticoid regulated kinase 3"
"chr1",9848165,9848530,366,"*",13.1519577657755,4.64277266456235,2.83278090830564,0.666666666666667,"both","exo_only","False","CpG:",660,365,2170,9846776,9848946,"Promoter (<=1kb)",1,9848272,9900843,52572,1,"170755","ENSMUST00000171265.7",0,"ENSMUSG00000025915","Sgk3","serum/glucocorticoid regulated kinase 3"
"chr1",9943785,9944196,412,"*",10.9019205378533,12.5265759564824,0.870303311593435,1,"both","both","False","CpG:",660,411,3437,9941156,9944593,"Promoter (<=1kb)",1,9941959,9944118,2160,2,"73824","ENSMUST00000182580.7",0,"ENSMUSG00000098234","Snhg6","small nucleolar RNA host gene 6"
"chr1",9967118,9968330,1213,"*",10.3906162333669,9.79520730507274,1.06078574038814,0.4,"both","both","False","CpG:",661,1212,1627,9967079,9968706,"Promoter (<=1kb)",1,9960163,9967932,7770,2,"100039596","ENSMUST00000185184.1",0,"ENSMUSG00000099032","Tcf24","transcription factor 24"
"chr1",10037950,10038215,266,"*",31.4332661472143,17.8760761059902,1.75839854120342,0.1,"both","both","False","CpG:",661,265,5375,10035146,10040521,"Promoter (<=1kb)",1,10038006,10047534,9529,1,"211660","ENSMUST00000191012.6",0,"ENSMUSG00000056763","Cspp1","centrosome and spindle pole associated protein 1"
"chr1",10039745,10040279,535,"*",48.1517181902351,27.6268505618965,1.74293186559046,0.1,"both","both","False","CpG:",661,534,3329,10037192,10040521,"Promoter (<=1kb)",1,10039767,10058872,19106,1,"211660","ENSMUST00000191521.6",0,"ENSMUSG00000056763","Cspp1","centrosome and spindle pole associated protein 1"
"chr1",10232143,10233428,1286,"*",11.5661026165078,9.11161672223236,1.26937984433504,0.7,"both","both","False","CpG:",663,1285,3021,10231604,10234625,"Promoter (<=1kb)",1,10137571,10232670,95100,2,"211673","ENSMUST00000088615.10",0,"ENSMUSG00000067851","Arfgef1","ADP ribosylation factor guanine nucleotide exchange factor 1"
"chr1",10993486,10994005,520,"*",19.562027910505,14.3649996350399,1.36178408684315,0.7,"both","exo_only","False","CpG:",668,519,4233,10990495,10994728,"Promoter (<=1kb)",1,10993465,11303681,310217,1,"109294","ENSMUST00000027056.11",21,"ENSMUSG00000048960","Prex2","phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2"
"chr1",11414060,11414465,406,"*",37.0951865461682,11.3795090787622,3.25982309864313,0.1,"both","both","False","CpG:",672,405,1849,11413535,11415384,"Promoter (<=1kb)",1,11414105,11601811,187707,1,"320492","ENSMUST00000171690.8",0,"ENSMUSG00000057715","A830018L16Rik","RIKEN cDNA A830018L16 gene"
"chr1",12990718,12991200,483,"*",18.890119290575,11.8003624869931,1.60080839138599,0.1,"both","both","False","CpG:",684,482,6696,12988795,12995491,"Promoter (<=1kb)",1,12866552,12991135,124584,2,"240726","ENSMUST00000115403.8",0,"ENSMUSG00000025938","Slco5a1","solute carrier organic anion transporter family, member 5A1"
"chr1",12991485,12992784,1300,"*",18.890119290575,11.8003624869931,1.60080839138599,0.1,"both","both","False","CpG:",684,1299,6696,12988795,12995491,"Promoter (<=1kb)",1,12866549,12992650,126102,2,"240726","ENSMUST00000188454.6",0,"ENSMUSG00000025938","Slco5a1","solute carrier organic anion transporter family, member 5A1"
"chr1",13372746,13374794,2049,"*",52.693073728739,29.7654268921097,1.77027777628504,0.2,"both","both","False","CpG:",687,2048,4441,13370800,13375241,"Promoter (<=1kb)",1,13139159,13374083,234925,2,"17978","ENSMUST00000068304.12",0,"ENSMUSG00000005886","Ncoa2","nuclear receptor coactivator 2"
"chr1",13589162,13590177,1016,"*",20.8137525727139,15.2107180022804,1.36836095242798,0.4,"both","both","False","CpG:",688,1015,3270,13587855,13591125,"Promoter (<=1kb)",1,13564698,13589910,25213,2,"72265","ENSMUST00000027068.10",0,"ENSMUSG00000025935","Tram1","translocating chain-associating membrane protein 1"
"chr1",13660231,13660732,502,"*",52.1094114072761,30.317879881707,1.7187683179231,0.4,"both","both","False","CpG:",689,501,2209,13658629,13660838,"Promoter (<=1kb)",1,13623330,13660546,37217,2,"212442","ENSMUST00000027071.6",0,"ENSMUSG00000025937","Lactb2","lactamase, beta 2"
"chr1",14309747,14310036,290,"*",29.0323001294536,12.8229496137017,2.2640890749841,0.2,"both","both","False","CpG:",694,289,2319,14308466,14310785,"Promoter (<=1kb)",1,14270775,14309836,39062,2,"14048","ENSMUST00000187790.1",0,"ENSMUSG00000025932","Eya1","EYA transcriptional coactivator and phosphatase 1"
"chr1",14755151,14755803,653,"*",16.8943505278849,1.56422915189609,10.8004319619068,0.666666666666667,"exo_only","exo_only","False","CpG:",697,652,1146,14754924,14756070,"Promoter (<=1kb)",1,14753746,14755353,1608,2,"17681","ENSMUST00000190719.1",0,"ENSMUSG00000025930","Msc","musculin"
"chr1",15805591,15806108,518,"*",41.8513425344039,19.9639618218257,2.09634454863812,0.1,"both","both","False","CpG:",705,517,3308,15803978,15807286,"Promoter (<=1kb)",1,15805646,15844052,38407,1,"21749","ENSMUST00000188371.6",0,"ENSMUSG00000025925","Terf1","telomeric repeat binding factor 1"
"chr1",16092956,16093371,416,"*",20.4223637648563,9.27783357228147,2.201199623355,0.2,"both","exo_only","False","CpG:",707,415,2442,16091835,16094277,"Promoter (<=1kb)",1,16065979,16093325,27347,2,"75799","ENSMUST00000145070.7",0,"ENSMUSG00000067795","4930444P10Rik","RIKEN cDNA 4930444P10 gene"
"chr1",16104765,16106291,1527,"*",30.8313325395924,21.9379731431838,1.40538655683294,0.2,"both","both","False","CpG:",707,1526,6196,16102343,16108539,"Promoter (<=1kb)",1,16105774,16133734,27961,1,"98711","ENSMUST00000027053.7",0,"ENSMUSG00000025921","Rdh10","retinol dehydrogenase 10 (all-trans)"
"chr1",16519743,16520093,351,"*",21.1392725719327,8.32897855509782,2.53803902028229,0.1,"both","exo_only","False","CpG:",711,350,3455,16518613,16522068,"Promoter (<=1kb)",1,16343571,16520067,176497,2,"29819","ENSMUST00000131257.8",0,"ENSMUSG00000025920","Stau2","staufen double-stranded RNA binding protein 2"
"chr1",16618558,16619401,844,"*",28.5798551660496,27.0325799822944,1.05723742183575,1,"both","both","False","CpG:",711,843,2910,16617353,16620263,"Promoter (<=1kb)",1,16540790,16619312,78523,2,"66799","ENSMUST00000182554.8",0,"ENSMUSG00000025939","Ube2w","ubiquitin-conjugating enzyme E2W (putative)"
"chr1",16656764,16657043,280,"*",69.1494251410282,42.727817855705,1.6183701534806,0.1,"both","both","False","CpG:",712,279,3425,16655014,16658439,"Promoter (<=1kb)",1,16641725,16656884,15160,2,"67923","ENSMUST00000188641.6",0,"ENSMUSG00000079658","Eloc","elongin C"
"chr1",16665146,16665626,481,"*",21.6761978906498,30.060269887309,0.721091260055557,1,"both","both","False","CpG:",712,480,988,16664940,16665928,"Promoter (<=1kb)",1,16665207,16678195,12989,1,"70397","ENSMUST00000177501.1",0,"ENSMUSG00000025940","Tmem70","transmembrane protein 70"
"chr1",17091517,17091971,455,"*",18.6361327445445,0,Inf,1,"exo_only","exo_only","False","CpG:",715,454,1467,17090590,17092057,"Exon (ENSMUST00000186604.1/ENSMUST00000186604.1, exon 3 of 3)",1,16994938,17097889,102952,2,"57339","ENSMUST00000038382.4",5918,"ENSMUSG00000042686","Jph1","junctophilin 1"
"chr1",17096764,17098139,1376,"*",8.96608158009277,6.57629538391693,1.36339398653235,0.2,"both","both","False","CpG:",715,1375,2455,17096420,17098875,"Promoter (<=1kb)",1,16994938,17097889,102952,2,"57339","ENSMUST00000038382.4",0,"ENSMUSG00000042686","Jph1","junctophilin 1"
"chr1",17145467,17145795,329,"*",17.4296086256825,7.09358457626104,2.45709463788046,1,"exo_only","exo_only","False","CpG:",715,328,1417,17144293,17145710,"Promoter (<=1kb)",1,17145468,17161631,16164,1,"14545","ENSMUST00000189736.1",0,"ENSMUSG00000025777","Gdap1","ganglioside-induced differentiation-associated-protein 1"
"chr1",20819888,20820297,410,"*",36.6155182367393,37.486495279444,0.976765578211247,1,"both","both","False","CpG:",743,409,1702,20820005,20821707,"Promoter (<=1kb)",1,20802973,20820260,17288,2,"17215","ENSMUST00000185296.1",0,"ENSMUSG00000041859","Mcm3","minichromosome maintenance complex component 3"
"chr1",20890434,20890811,378,"*",26.0765113902509,28.6160934489514,0.911253362964065,0.7,"both","both","False","CpG:",744,377,10406,20889026,20899432,"Promoter (<=1kb)",1,20890606,20939650,49045,1,"74229","ENSMUST00000189400.6",0,"ENSMUSG00000025931","Paqr8","progestin and adipoQ receptor family member VIII"
"chr1",20935285,20935502,218,"*",9.26218745935908,18.1904856864691,0.509177578817961,0.7,"both","both","False","CpG:",744,217,3309,20933675,20936984,"Exon (ENSMUST00000189400.6/74229, exon 3 of 3)",1,20922259,20935756,13498,1,"74229","ENSMUST00000187651.1",13026,"ENSMUSG00000025931","Paqr8","progestin and adipoQ receptor family member VIII"
"chr1",20951662,20951890,229,"*",35.4819150661107,19.1937903261413,1.84861428947598,0.4,"both","both","False","CpG:",744,228,6950,20946774,20953724,"Promoter (<=1kb)",1,20951688,20990841,39154,1,"71877","ENSMUST00000038447.5",0,"ENSMUSG00000041809","Efhc1","EF-hand domain (C-terminal) containing 1"
"chr1",21078869,21079694,826,"*",31.045559189546,22.129526290716,1.40290211284688,0.1,"both","both","False","CpG:",745,825,4475,21076107,21080582,"Promoter (<=1kb)",1,20996299,21079229,82931,2,"170829","ENSMUST00000037998.5",0,"ENSMUSG00000041779","Tram2","translocating chain-associating membrane protein 2"
"chr1",21961003,21962124,1122,"*",26.5395368407834,15.7434403724239,1.68575204739047,0.2,"both","both","False","CpG:",752,1121,4715,21959744,21964459,"Promoter (<=1kb)",1,21398403,21961581,563179,2,"226922","ENSMUST00000029667.12",0,"ENSMUSG00000028033","Kcnq5","potassium voltage-gated channel, subfamily Q, member 5"
"chr1",22805682,22806364,683,"*",6.75817062128741,10.9080409315345,0.619558604859094,0.4,"both","both","False","CpG:",758,682,3077,22803788,22806865,"Promoter (<=1kb)",1,22286251,22805724,519474,2,"116837","ENSMUST00000081544.12",0,"ENSMUSG00000041670","Rims1","regulating synaptic membrane exocytosis 1"
"chr1",23256018,23257054,1037,"*",25.9882490273721,25.2887072483651,1.0276622198255,1,"both","both","False","CpG:",762,1036,3318,23254975,23258293,"Exon (ENSMUST00000193885.1/ENSMUST00000193885.1, exon 1 of 1)",1,23272269,23272339,71,1,"387225","ENSMUST00000083471.3",-15215,"ENSMUSG00000065405","Mir30a","microRNA 30a"
"chr1",23382681,23383400,720,"*",27.0159858775083,23.8043136852697,1.13491975591911,1,"both","both","False","CpG:",763,719,3843,23380337,23384180,"Promoter (<=1kb)",1,23366424,23383175,16752,2,"70155","ENSMUST00000027343.5",0,"ENSMUSG00000026158","Ogfrl1","opioid growth factor receptor-like 1"
"chr1",23761822,23763204,1383,"*",24.1438633849018,16.3898903319275,1.47309487104192,0.2,"both","both","False","CpG:",766,1382,5089,23761181,23766270,"Promoter (<=1kb)",1,23761926,23849158,87233,1,"280645","ENSMUST00000063663.5",0,"ENSMUSG00000026156","B3gat2","beta-1,3-glucuronyltransferase 2"
"chr1",23921719,23922554,836,"*",22.7856688835844,11.7609395043881,1.93740209913356,0.4,"both","exo_only","False","CpG:",767,835,3213,23920542,23923755,"Promoter (<=1kb)",1,23845625,23922317,76693,2,"98366","ENSMUST00000027339.13",0,"ENSMUSG00000026155","Smap1","small ArfGAP 1"
"chr1",24005371,24005714,344,"*",41.7307633229387,31.2501196717274,1.33537931250527,1,"both","both","False","CpG:",768,343,1435,24004550,24005985,"Promoter (<=1kb)",1,23995939,24005656,9718,2,"68002","ENSMUST00000027338.3",0,"ENSMUSG00000026154","Sdhaf4","succinate dehydrogenase complex assembly factor 4"
"chr1",24099641,24100556,916,"*",52.0546354137863,29.7717003921517,1.74846027361973,0.2,"both","both","False","CpG:",768,915,3301,24098214,24101515,"Promoter (<=1kb)",1,24011245,24100194,88950,2,"68187","ENSMUST00000187752.6",0,"ENSMUSG00000026153","Fam135a","family with sequence similarity 135, member A"
"chr1",24586521,24587177,657,"*",18.4322114830296,7.36409567374782,2.50298370630061,0.2,"both","both","False","CpG:",772,656,2094,24586190,24588284,"Promoter (<=1kb)",1,24279770,24587411,307642,2,"12823","ENSMUST00000051344.5",234,"ENSMUSG00000026141","Col19a1","collagen, type XIX, alpha 1"
"chr1",24678516,24679083,568,"*",23.5305600493982,15.6519660122529,1.5033613049618,0.1,"both","both","False","CpG:",773,567,6784,24676791,24683575,"Promoter (<=1kb)",1,24678630,24765448,86819,1,"68421","ENSMUST00000191471.6",0,"ENSMUSG00000073725","Lmbrd1","LMBR1 domain containing 1"
"chr1",25829845,25830680,836,"*",35.3507452303743,28.5909781010195,1.23643007614048,0.2,"both","both","False","CpG:",782,835,6268,25826758,25833026,"Promoter (<=1kb)",1,25067550,25829707,762158,2,"210933","ENSMUST00000151309.7",-138,"ENSMUSG00000033569","Adgrb3","adhesion G protein-coupled receptor B3"
"chr1",30873108,30874026,919,"*",24.9826510514914,14.2328453195136,1.7552815681373,0.4,"both","both","False","CpG:",820,918,3817,30872034,30875851,"Promoter (<=1kb)",1,30802339,30873581,71243,2,"213109","ENSMUST00000186733.6",0,"ENSMUSG00000048874","Phf3","PHD finger protein 3"
"chr1",30948826,30950216,1391,"*",39.0001689903292,25.1904343165868,1.54821344087145,0.4,"both","both","False","CpG:",821,1390,2971,30948559,30951530,"Promoter (<=1kb)",1,30940302,30949309,9008,2,"19243","ENSMUST00000232841.1",0,"ENSMUSG00000026064","Ptp4a1","protein tyrosine phosphatase 4a1"
"chr1",32172540,32173046,507,"*",19.5165286629608,7.40934666838828,2.63404177675035,0.1,"both","both","False","CpG:",830,506,3761,32171393,32175154,"Promoter (<=1kb)",1,32172714,32658568,485855,1,"170771","ENSMUST00000027226.11",0,"ENSMUSG00000026058","Khdrbs2","KH domain containing, RNA binding, signal transduction associated 2"
"chr1",33669553,33670569,1017,"*",43.4320511773239,18.8104092094423,2.30893707275237,0.1,"both","both","False","CpG:",841,1016,1387,33669554,33670941,"Promoter (<=1kb)",1,33453810,33669795,215986,2,"19076","ENSMUST00000027312.10",0,"ENSMUSG00000026134","Prim2","DNA primase, p58 subunit"
"chr1",33719825,33720450,626,"*",19.2999033187772,8.02254183762349,2.40570927636251,0.2,"both","both","False","CpG:",842,625,2912,33717820,33720732,"Promoter (<=1kb)",1,33719887,33723837,3951,1,"19335","ENSMUST00000195006.5",0,"ENSMUSG00000004768","Rab23","RAB23, member RAS oncogene family"
"chr1",33757611,33757949,339,"*",17.5736662466498,20.404055090897,0.861283022828635,1,"both","both","False","CpG:",842,338,7047,33753114,33760161,"Promoter (<=1kb)",1,33745484,33757795,12312,2,"213539","ENSMUST00000044691.8",0,"ENSMUSG00000042215","Bag2","BCL2-associated athanogene 2"
"chr1",33814130,33814690,561,"*",31.0590486442868,12.4940986696617,2.48589749972959,0.2,"both","both","False","CpG:",842,560,3640,33811682,33815322,"Promoter (<=1kb)",1,33761545,33814385,52841,2,"98403","ENSMUST00000139143.7",0,"ENSMUSG00000042197","Zfp451","zinc finger protein 451"
"chr1",33906988,33907242,255,"*",17.1270368148082,11.373116239885,1.50592295493688,0.4,"both","endo_only","False","CpG:",843,254,3659,33904521,33908180,"Promoter (<=1kb)",1,33852052,33907768,55717,2,"320705","ENSMUST00000115161.7",526,"ENSMUSG00000042182","Bend6","BEN domain containing 6"
"chr1",33907457,33907693,237,"*",14.3155115743457,11.6936064637337,1.22421697863216,0.7,"both","both","False","CpG:",843,236,4635,33904521,33909156,"Promoter (<=1kb)",1,33852052,33907768,55717,2,"320705","ENSMUST00000115161.7",75,"ENSMUSG00000042182","Bend6","BEN domain containing 6"
"chr1",33907902,33908106,205,"*",14.4621219317707,16.5382328437581,0.874465976407448,1,"both","both","False","CpG:",843,204,2700,33906456,33909156,"Promoter (<=1kb)",1,33852052,33907816,55765,2,"320705","ENSMUST00000062289.10",-86,"ENSMUSG00000042182","Bend6","BEN domain containing 6"
"chr1",34006046,34006248,203,"*",45.6450964665541,37.2192548896837,1.22638394029768,1,"both","both","False","CpG:",844,202,4846,34004426,34009272,"Promoter (<=1kb)",1,34006126,34137136,131011,1,"13518","ENSMUST00000182314.7",0,"ENSMUSG00000026131","Dst","dystonin"
"chr1",34011484,34011861,378,"*",53.1912752054947,32.2257917771479,1.65058086309656,0.2,"both","both","False","CpG:",844,377,3273,34009028,34012301,"Promoter (<=1kb)",1,34011813,34308652,296840,1,"13518","ENSMUST00000097786.9",0,"ENSMUSG00000026131","Dst","dystonin"
"chr1",34177942,34178193,252,"*",3.68258494728081,14.9528124658097,0.246280420870737,0.2,"both","endo_only","False","CpG:",845,251,1962,34176955,34178917,"Exon (ENSMUST00000183302.5/13518, exon 23 of 24)",1,34160330,34308404,148075,1,"13518","ENSMUST00000185269.6",17612,"ENSMUSG00000026131","Dst","dystonin"
"chr1",34439241,34440138,898,"*",242.534633806785,194.369770646174,1.24780017489597,0.7,"both","both","False","CpG:",847,897,2014,34438500,34440514,"Promoter (<=1kb)",1,34439851,34449356,9506,1,"27993","ENSMUST00000027303.13",0,"ENSMUSG00000026127","Imp4","IMP4, U3 small nucleolar ribonucleoprotein"
"chr1",34459407,34459964,558,"*",38.462055028258,11.1508542463422,3.44924740101187,0.1,"both","both","False","CpG:",847,557,3084,34457941,34461025,"Promoter (<=1kb)",1,34459765,34473784,14020,1,"19253","ENSMUST00000027302.13",0,"ENSMUSG00000026126","Ptpn18","protein tyrosine phosphatase, non-receptor type 18"
"chr1",34472754,34472966,213,"*",16.9346548516746,5.40616911123613,3.13246857492449,0.1,"both","exo_only","False","CpG:",848,212,3482,34470541,34474023,"Promoter (<=1kb)",1,34472720,34475733,3014,1,"19253","ENSMUST00000188972.2",34,"ENSMUSG00000026126","Ptpn18","protein tyrosine phosphatase, non-receptor type 18"
"chr1",34678070,34678419,350,"*",57.7313612133566,18.3978966092973,3.13793269085892,0.1,"both","exo_only","False","CpG:",849,349,1056,34677896,34678952,"Promoter (<=1kb)",1,34678188,34812739,134552,1,"226970","ENSMUST00000159747.8",0,"ENSMUSG00000037509","Arhgef4","Rho guanine nucleotide exchange factor 4"
"chr1",34750258,34751085,828,"*",27.2412721203692,13.7058132796758,1.98757064352868,0.4,"both","endo_only","False","CpG:",850,827,1790,34749384,34751174,"Promoter (<=1kb)",1,34750581,34807144,56564,1,"226970","ENSMUST00000159021.8",0,"ENSMUSG00000037509","Arhgef4","Rho guanine nucleotide exchange factor 4"
"chr1",34801701,34802059,359,"*",10.1119836984259,10.4615941775636,0.966581529238867,1,"both","endo_only","False","CpG:",850,358,3476,34800308,34803784,"Promoter (<=1kb)",1,34801704,34813309,11606,1,"226970","ENSMUST00000047664.15",0,"ENSMUSG00000037509","Arhgef4","Rho guanine nucleotide exchange factor 4"
"chr1",34842534,34843165,632,"*",25.7181499601213,13.6915443929147,1.87839656521367,0.2,"both","both","False","CpG:",850,631,5197,34839236,34844433,"Promoter (<=1kb)",1,34813219,34843050,29832,2,"214469","ENSMUST00000167518.7",0,"ENSMUSG00000037503","Fam168b","family with sequence similarity 168, member B"
"chr1",36068460,36069216,757,"*",18.1880382825803,10.5654588679015,1.72146222042817,0.7,"both","both","False","CpG:",860,756,6123,36066719,36072842,"Promoter (<=1kb)",1,36068400,36106446,38047,1,"50785","ENSMUST00000088174.3",60,"ENSMUSG00000045216","Hs6st1","heparan sulfate 6-O-sulfotransferase 1"
"chr1",36103537,36104186,650,"*",18.3444839723019,4.15216307776168,4.41805478945469,0.1,"both","exo_only","False","CpG:",860,649,3095,36102216,36105311,"Exon (ENSMUST00000088174.3/50785, exon 2 of 2)",1,36068400,36106446,38047,1,"50785","ENSMUST00000088174.3",35137,"ENSMUSG00000045216","Hs6st1","heparan sulfate 6-O-sulfotransferase 1"
"chr1",36243891,36244412,522,"*",33.7792807327895,8.52900825688065,3.96051682861704,0.1,"both","both","False","CpG:",861,521,3603,36243362,36246965,"Promoter (<=1kb)",1,36140027,36244305,104279,2,"320011","ENSMUST00000046875.13",0,"ENSMUSG00000037470","Uggt1","UDP-glucose glycoprotein glucosyltransferase 1"
"chr1",36307616,36308213,598,"*",39.1944905140263,79.063749905209,0.495732754404102,0.1,"both","both","False","CpG:",862,597,6133,36306719,36312852,"Promoter (<=1kb)",1,36307733,36319203,11471,1,"214855","ENSMUST00000126413.7",0,"ENSMUSG00000037447","Arid5a","AT-rich interaction domain 5A"
"chr1",36368684,36369330,647,"*",10.4151772340628,9.15738700021698,1.13735252576046,0.7,"both","both","False","CpG:",862,646,2112,36367987,36370099,"Promoter (<=1kb)",1,36335730,36369157,33428,2,"226976","ENSMUST00000185912.6",0,"ENSMUSG00000010453","Kansl3","KAT8 regulatory NSL complex subunit 3"
"chr1",36444875,36445308,434,"*",28.241643383357,29.9361275414456,0.943396681626821,1,"both","both","False","CpG:",863,433,2102,36444327,36446429,"Promoter (<=1kb)",1,36422065,36445271,23207,2,"214895","ENSMUST00000125304.7",0,"ENSMUSG00000001143","Lman2l","lectin, mannose-binding 2-like"
