chr	start	end	bg_mean	bm_mean	log2_fold_change	pvalue	padj
chr2	136891198	136891646	610.0	910.0	0.5762786739833212	1.0	1.0
chr2	154790670	154791288	1119.0	616.0	-0.8601563377955485	1.0	1.0
chr2	161109047	161109388	546.0	583.0	0.09442753608746068	1.0	1.0
chr2	165503245	165503934	1544.0	292.0	-2.3986342683694892	1.0	1.0
chr3	31094631	31094999	83.0	178.0	1.0914983544854961	1.0	1.0
chr3	32708354	32708876	405.0	681.0	0.7482920118389963	1.0	1.0
chr3	65528029	65528383	417.0	27.0	-3.900004210023279	1.0	1.0
chr3	75956672	75957439	877.0	640.0	-0.45389658291661716	1.0	1.0
chr3	88296644	88297368	642.0	748.0	0.2201469811308036	1.0	1.0
chr3	100921984	100922581	936.0	1498.0	0.6778794302886727	1.0	1.0
chr3	107333006	107333953	1025.0	1435.0	0.4850250182159974	1.0	1.0
chr3	121291643	121292079	579.0	648.0	0.162165577984204	1.0	1.0
chr3	131564528	131565129	848.0	317.0	-1.4167377882686831	1.0	1.0
chr4	16163526	16164106	1017.0	1576.0	0.631445098714815	1.0	1.0
chr4	40142902	40143827	1588.0	502.0	-1.659488819542992	1.0	1.0
chr4	45530758	45531129	667.0	265.0	-1.3284218569728627	1.0	1.0
chr4	101647125	101647728	1196.0	722.0	-0.7273555999923842	1.0	1.0
chr4	107066642	107067065	152.0	94.0	-0.6875322343617039	1.0	1.0
chr4	116807337	116807761	639.0	759.0	0.24792751344358552	1.0	1.0
chr4	132422168	132422646	516.0	444.0	-0.2163589444611745	1.0	1.0
chr4	141060487	141060938	411.0	489.0	0.2501374118193521	1.0	1.0
chr4	141793484	141793854	295.0	159.0	-0.8875252707415874	1.0	1.0
chr4	156197635	156197905	288.0	496.0	0.7821763590616073	1.0	1.0
chr5	32135562	32135954	899.0	671.0	-0.4214637684382767	1.0	1.0
chr5	45450125	45450549	906.0	1086.0	0.2611774844987866	1.0	1.0
chr5	129941524	129941987	565.0	731.0	0.37104159545216026	1.0	1.0
chr5	135149089	135149669	1033.0	1101.0	0.09188803825622287	1.0	1.0
chr5	135186816	135187165	618.0	490.0	-0.3342163848995715	1.0	1.0
chr5	135545171	135545686	908.0	2729.0	1.5865487516131078	1.0	1.0
chr5	135962519	135962917	797.0	578.0	-0.4628253982331092	1.0	1.0
chr5	139149415	139150229	962.0	860.0	-0.16152256044661537	1.0	1.0
chr6	24956229	24957127	1340.0	615.0	-1.1223069812095725	1.0	1.0
chr6	34910625	34911007	593.0	329.0	-0.84799690655495	1.0	1.0
chr6	47813280	47813798	997.0	552.0	-0.8517603351025533	1.0	1.0
chr6	48593407	48593886	1088.0	544.0	-0.9986758190526182	1.0	1.0
chr6	51469954	51470363	1108.0	524.0	-1.078870037608225	1.0	1.0
chr6	52012191	52012948	1338.0	232.0	-2.5227541006700305	1.0	1.0
chr6	53287308	53287808	763.0	415.0	-0.8769891098946565	1.0	1.0
chr6	71144036	71144406	379.0	320.0	-0.24342612120864476	1.0	1.0
chr6	71440475	71440942	620.0	929.0	0.5826374477749123	1.0	1.0
chr6	71633004	71633494	692.0	406.0	-0.7678265578709667	1.0	1.0
chr6	89644388	89644678	568.0	71.0	-2.9823598408642695	1.0	1.0
chr6	113076456	113076989	394.0	602.0	0.6103053488356194	1.0	1.0
chr6	113306428	113307151	710.0	1406.0	0.9847008636171175	1.0	1.0
chr6	122810900	122811451	952.0	730.0	-0.3826048079575046	1.0	1.0
chr7	16874889	16875281	664.0	452.0	-0.5538432903423167	1.0	1.0
chr7	16923959	16924588	392.0	897.0	1.1921861324825405	1.0	1.0
chr7	19228069	19228806	653.0	667.0	0.03055746697596971	1.0	1.0
chr7	19715420	19716117	694.0	1582.0	1.187576372526311	1.0	1.0
chr7	19749568	19749944	440.0	105.0	-2.0567143909943213	1.0	1.0
chr7	24884088	24884668	400.0	1094.0	1.4492567280336155	1.0	1.0
chr7	25267469	25268373	819.0	1596.0	0.9616684979057866	1.0	1.0
chr7	27178370	27179157	776.0	621.0	-0.32100001827710756	1.0	1.0
chr7	44670864	44671271	760.0	1131.0	0.572905599328337	1.0	1.0
chr7	44929472	44930043	821.0	1193.0	0.538592537583122	1.0	1.0
chr7	65644556	65645055	603.0	489.0	-0.3017668003225083	1.0	1.0
chr7	66689377	66690146	1098.0	1541.0	0.4886113789658032	1.0	1.0
chr7	80803260	80803524	700.0	212.0	-1.7185610137847849	1.0	1.0
chr7	100371888	100372391	382.0	1303.0	1.7675275723061206	1.0	1.0
chr7	100706253	100706693	691.0	775.0	0.16528461455040305	1.0	1.0
chr7	102210096	102210611	153.0	595.0	1.9523819797672604	1.0	1.0
chr7	110061370	110061902	204.0	287.0	0.4904449019368663	1.0	1.0
chr7	127027138	127027484	630.0	311.0	-1.0160939761203007	1.0	1.0
chr8	13785623	13786100	333.0	314.0	-0.08449627408677332	1.0	1.0
chr8	69716801	69717439	813.0	596.0	-0.44729786300144203	1.0	1.0
chr8	69749707	69750231	786.0	320.0	-1.2937903383851834	1.0	1.0
chr8	69832332	69832711	574.0	125.0	-2.190138222331821	1.0	1.0
chr8	70212301	70212925	977.0	853.0	-0.1955983953317433	1.0	1.0
chr8	70539193	70539501	494.0	632.0	0.35477697446136935	1.0	1.0
chr8	72160878	72161540	985.0	874.0	-0.17230462965822033	1.0	1.0
chr8	84066390	84066843	646.0	742.0	0.19959649854608863	1.0	1.0
chr8	91133989	91134416	1146.0	580.0	-0.9812553226112962	1.0	1.0
chr8	113634988	113635687	987.0	1944.0	0.9771872082888766	1.0	1.0
chr8	114439356	114440074	1090.0	388.0	-1.4878090413374152	1.0	1.0
chr8	120589096	120589529	1158.0	927.0	-0.3206838558788997	1.0	1.0
chr8	121950118	121950513	837.0	721.0	-0.21495140681218058	1.0	1.0
chr1	176814048	176815021	1534.0	991.0	-0.6298266298706665	1.0	1.0
chr1	178187364	178187681	672.0	580.0	-0.21206834120578813	1.0	1.0
chr1	191397055	191397723	1018.0	940.0	-0.11488742343727712	1.0	1.0
chr1	191575518	191576101	1107.0	678.0	-0.7064744018044564	1.0	1.0
chr10	5823925	5824629	942.0	1325.0	0.49175109943749107	1.0	1.0
chr10	8886054	8886440	783.0	845.0	0.10980400900474152	1.0	1.0
chr10	20312058	20312515	647.0	531.0	-0.28456756738343514	1.0	1.0
chr10	30618171	30618677	773.0	160.0	-2.2652728780297933	1.0	1.0
chr9	115310278	115310731	783.0	563.0	-0.4751584917164147	1.0	1.0
chrX	7898938	7899330	272.0	414.0	0.6042103853144345	1.0	1.0
chrX	8096459	8096933	335.0	245.0	-0.4498029174395205	1.0	1.0
chrX	136741321	136741708	526.0	551.0	0.06686530514095435	1.0	1.0
chr1	7088585	7089130	558.0	418.0	-0.4158980391438385	1.0	1.0
